,Feature,Importance,Cumulative Importance,Cumulative Percentage
3,num__amount,0.9855970813358806,0.9855970813358806,98.55970813358806
2,num__product_id,0.004996945320755918,0.9905940266566365,99.05940266566365
1042,cat__ip_address_191.65.52.159,0.0008551538276636303,0.9914491804843002,99.14491804843001
67,"cat__shipping_address_185 Broadway, Chicago",0.0007642855851583373,0.9922134660694585,99.22134660694584
1998,cat__device_id_Windows_5168,0.0007497162725760504,0.9929631823420345,99.29631823420345
1848,cat__device_id_Mac_4961,0.0007388011099461162,0.9937019834519806,99.37019834519806
1514,cat__device_id_Android_3444,0.0007363115046646385,0.9944382949566453,99.44382949566453
2161,cat__device_id_iPhone_6114,0.0007040000998474505,0.9951422950564928,99.51422950564928
302,"cat__shipping_address_460 State St, New York",0.0006991509760793238,0.9958414460325721,99.5841446032572
291,"cat__shipping_address_451 Main St, Houston",0.0006988853034566144,0.9965403313360287,99.65403313360287
1140,cat__ip_address_219.39.36.255,0.0006735968123448815,0.9972139281483736,99.72139281483736
1428,cat__ip_address_88.47.30.103,0.0006407891795640645,0.9978547173279377,99.78547173279378
532,"cat__shipping_address_721 Broadway, New York",0.0006234954280016162,0.9984782127559394,99.84782127559394
1046,cat__ip_address_192.213.177.24,0.000557601441395753,0.9990358141973351,99.90358141973351
1,num__customer_id,0.0005500712475271698,0.9995858854448623,99.95858854448623
269,"cat__shipping_address_427 State St, New York",0.0004141145551377457,1.0,100.0
2236,cat__country_Phoenix,7.020211231648214e-18,1.0,100.0
2235,cat__country_New York,6.118763734901422e-18,1.0,100.0
0,num__transaction_id,3.437922669157232e-18,1.0,100.0
1126,cat__ip_address_214.52.215.15,3.2700553513272892e-18,1.0,100.0
2230,cat__city_Phoenix,3.0820439553577535e-18,1.0,100.0
2144,cat__device_id_iPhone_5230,2.726165241558274e-18,1.0,100.0
165,"cat__shipping_address_293 State St, New York",1.851576515664271e-18,1.0,100.0
752,"cat__shipping_address_992 Broadway, Phoenix",1.5821494705472126e-18,1.0,100.0
1469,cat__ip_address_nan,8.510873013978109e-19,1.0,100.0
2225,cat__device_id_nan,3.928095237220666e-19,1.0,100.0
2229,cat__city_New York,1.9052940573698526e-19,1.0,100.0
1487,cat__device_id_Android_2121,0.0,1.0,100.0
1532,cat__device_id_Android_4377,0.0,1.0,100.0
1488,cat__device_id_Android_2161,0.0,1.0,100.0
1489,cat__device_id_Android_2204,0.0,1.0,100.0
1490,cat__device_id_Android_2276,0.0,1.0,100.0
1491,cat__device_id_Android_2387,0.0,1.0,100.0
1486,cat__device_id_Android_2083,0.0,1.0,100.0
1492,cat__device_id_Android_2438,0.0,1.0,100.0
1493,cat__device_id_Android_2460,0.0,1.0,100.0
1494,cat__device_id_Android_2467,0.0,1.0,100.0
1495,cat__device_id_Android_2477,0.0,1.0,100.0
1496,cat__device_id_Android_2517,0.0,1.0,100.0
1531,cat__device_id_Android_4369,0.0,1.0,100.0
1485,cat__device_id_Android_1983,0.0,1.0,100.0
1484,cat__device_id_Android_1953,0.0,1.0,100.0
1497,cat__device_id_Android_2606,0.0,1.0,100.0
1482,cat__device_id_Android_1840,0.0,1.0,100.0
1481,cat__device_id_Android_1746,0.0,1.0,100.0
1480,cat__device_id_Android_1691,0.0,1.0,100.0
1479,cat__device_id_Android_1616,0.0,1.0,100.0
1478,cat__device_id_Android_1598,0.0,1.0,100.0
1477,cat__device_id_Android_1584,0.0,1.0,100.0
1533,cat__device_id_Android_4387,0.0,1.0,100.0
1535,cat__device_id_Android_4817,0.0,1.0,100.0
1476,cat__device_id_Android_1578,0.0,1.0,100.0
1475,cat__device_id_Android_1531,0.0,1.0,100.0
1474,cat__device_id_Android_1528,0.0,1.0,100.0
1473,cat__device_id_Android_1415,0.0,1.0,100.0
1483,cat__device_id_Android_1902,0.0,1.0,100.0
1524,cat__device_id_Android_4148,0.0,1.0,100.0
1525,cat__device_id_Android_4154,0.0,1.0,100.0
1526,cat__device_id_Android_4164,0.0,1.0,100.0
1523,cat__device_id_Android_4044,0.0,1.0,100.0
1522,cat__device_id_Android_3926,0.0,1.0,100.0
1521,cat__device_id_Android_3841,0.0,1.0,100.0
1520,cat__device_id_Android_3617,0.0,1.0,100.0
1519,cat__device_id_Android_3589,0.0,1.0,100.0
1518,cat__device_id_Android_3583,0.0,1.0,100.0
1517,cat__device_id_Android_3509,0.0,1.0,100.0
1516,cat__device_id_Android_3485,0.0,1.0,100.0
1515,cat__device_id_Android_3450,0.0,1.0,100.0
1513,cat__device_id_Android_3369,0.0,1.0,100.0
1527,cat__device_id_Android_4166,0.0,1.0,100.0
1512,cat__device_id_Android_3354,0.0,1.0,100.0
1499,cat__device_id_Android_2617,0.0,1.0,100.0
1511,cat__device_id_Android_3276,0.0,1.0,100.0
1510,cat__device_id_Android_3267,0.0,1.0,100.0
1509,cat__device_id_Android_3262,0.0,1.0,100.0
1508,cat__device_id_Android_3238,0.0,1.0,100.0
1507,cat__device_id_Android_3200,0.0,1.0,100.0
1506,cat__device_id_Android_3138,0.0,1.0,100.0
1505,cat__device_id_Android_2999,0.0,1.0,100.0
1504,cat__device_id_Android_2925,0.0,1.0,100.0
1503,cat__device_id_Android_2838,0.0,1.0,100.0
1529,cat__device_id_Android_4271,0.0,1.0,100.0
1530,cat__device_id_Android_4322,0.0,1.0,100.0
